industry_description,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases
Manufacturer cutting tools & production machining,0,0,0,0
Manufacturer of Aluminum Rod,7,0,2,1
Manufacturer of Automotive Mirrors,28,0,2,18
Manufacturer of Baked Foods,35,0,4,27
Manufacturer of Brass Products,2,0,0,0
Manufacturer of Catheters,1,0,1,0
Manufacturer of Composite Cans,7,0,6,1
Manufacturer of Custom Plastic Components,0,0,0,0
Manufacturer of DC Motors and Drives,4,0,1,0
Manufacturer of Dairy Products,41,0,1,34
Manufacturer of Deli Foods,97,0,23,72
Manufacturer of Dietary Supplements,0,0,0,0
Manufacturer of Electrical Connectors,5,0,1,0
Manufacturer of Electrical Motor Parts,2,0,1,0
Manufacturer of Fitness Equipment,16,0,1,7
Manufacturer of Fuel Ethanol,0,0,0,0
Manufacturer of Garage Doors,9,0,1,3
Manufacturer of Hardwood Plywood,11,0,3,8
Manufacturer of Heat Exchangers,10,0,3,2
Manufacturer of In-Vitro Diagnostic Substance,8,0,1,7
Manufacturer of Industrial Cleaning Chemicals,0,0,0,0
Manufacturer of Industrial and Specialty Gases,0,0,0,0
Manufacturer of Liquid & Mass Flow Instrumentation,0,0,0,0
Manufacturer of Medical Devices,5,0,4,0
Manufacturer of Nailwood and Plywood Reels,3,0,3,0
Manufacturer of Pallets and Lumber,2,0,1,0
Manufacturer of Paper,7,0,3,0
Manufacturer of Plastic Film,1,0,0,1
Manufacturer of Plastic Tanks,4,0,0,3
Manufacturer of Polyfiber Reels,0,0,0,0
"Manufacturer of Polymer Extruded Products, Provider of Sheeting and Custom Winding Services",2,0,2,0
Manufacturer of Poultry Processing Equipment,3,0,2,0
Manufacturer of Printed Folding Cartons,5,0,1,3
Manufacturer of Printed Materials,10,0,1,9
Manufacturer of Recreational Vehicles,43,0,8,13
Manufacturer of Retail Displays,1,0,1,0
Manufacturer of Rubber Belts,16,0,3,5
Manufacturer of Scientific Measuring Equipment,1,0,0,1
Manufacturer of Shorthand Machines,0,0,0,0
Manufacturer of Silicone Rubber,0,0,0,0
Manufacturer of Stainless Steel Products,4,0,1,1
Manufacturer of Steel Drums,3,0,1,1
Manufacturer of Steel Related Products,7,0,0,4
Manufacturer of Telephone Apparatus,0,0,0,0
Manufacturer of Thermoplastic Elastomers,1,0,1,0
Manufacturer of Trailer Wheels,6,0,1,2
Manufacturer of Tubes & Cores,0,0,0,0
Manufacturer of Turbochargers,0,0,0,0
Manufacturer of Windows and Doors,45,0,7,24
Manufacturer of Wooden Pallets,10,0,4,3
Manufacturer of Wool Fiberglass Insulation,16,0,3,9
Manufacturer of accessories for electron microscopes,1,0,0,0
Manufacturer of after market auto products,49,0,39,0
"Manufacturer of air distribution product for commercial , industrial and residential application",1,0,1,0
Manufacturer of air handler equipment,6,0,2,4
"Manufacturer of candy covered popcorn, popped",6,0,5,0
Manufacturer of cheese snacks and beverage coffee lattes,0,0,0,0
Manufacturer of cheese snacks and beverages - coffee lattes,14,0,4,6
Manufacturer of coatings/adhesives/motion control,1,0,0,1
"Manufacturer of culvert products, irrigation products, and powder coating",3,0,2,1
Manufacturer of energy recover products,3,0,3,0
Manufacturer of equipment for tire industry,1,0,1,0
Manufacturer of fabricated and insulated wire,8,0,2,3
Manufacturer of flexible packaging.,0,0,0,0
Manufacturer of flutes and headjoints,0,0,0,0
Manufacturer of food display cases and refrigeration systems. Corporate Office.,7,0,1,0
Manufacturer of grinding equipment,3,0,0,1
Manufacturer of hose assemblies,4,0,1,3
Manufacturer of house componets,51,0,28,13
Manufacturer of industrial air handlers.,6,0,1,0
Manufacturer of medical devices parts,0,0,0,0
"Manufacturer of needle bearings, rollers, pinion pins and axles",16,0,1,10
Manufacturer of paper cores,0,0,0,0
Manufacturer of paperboard boxes,0,0,0,0
Manufacturer of photonic laser components,0,0,0,0
Manufacturer of precision custom products,4,0,0,1
Manufacturer of process control instruments,2,0,0,0
Manufacturer of refigeration units and refrigeration and electrical distribution houses.,13,0,1,10
Manufacturer of reproduction 1965-1968 Ford Mustang and Shelby GT Automobiles,9,0,0,0
Manufacturer of rubber mounts and dampeners,0,0,0,0
"Manufacturer of silcone sealants, coating, librants and foam",7,0,3,4
Manufacturer of specialty chemicals.,0,0,0,0
Manufacturer of thermoelectrically cooled X-ray fluorescence detectors.,0,0,0,0
Manufacturer of truck trailer parts,2,0,0,2
"Manufacturer of wooden staves, flanges, and reels",0,0,0,0
"Manufacturer or Motorcycle clutches, cables and components",2,0,1,1
Manufacturer splicers and web handling equipment,5,0,3,0
"Manufacturer, Paint & Coatings",0,0,0,0
Manufacturer/Distibutor Ag Containers,0,0,0,0
Manufacturers' associations,5,0,5,0
Manufactures wooden caskets,1,0,0,0
Manufacturig,61,0,42,0
Manufacturing,1024,1,361,421
Manufacturing (Brewing),4,0,0,0
Manufacturing - Lubrication Systems,7,0,2,2
Manufacturing -Plastic Hose,0,0,0,0
Manufacturing Boat Parts,10,0,2,9
Manufacturing ColdChain,1,0,1,0
Manufacturing ColdChain Technologies,0,0,0,0
Manufacturing Commercial Refrigerated Glass,4,0,0,5
Manufacturing Defense Products,1,0,1,0
Manufacturing EDM Machining,0,0,0,0
Manufacturing Facility - Stamping,33,0,5,16
Manufacturing Fluid Power Valves and Fittings,7,0,0,1
"Manufacturing Industries, Not Elsewhere Classified",1,0,1,0
Manufacturing Non-Woven Fabrics,5,0,3,2
Manufacturing Packaging Equipment,0,0,0,0
Manufacturing Vinyl Patio Doors,16,0,3,3
Manufacturing adhesive tapes,6,0,3,3
"Manufacturing adhesives, glues, and caulking compounds",0,0,0,0
Manufacturing and Assembly,7,0,1,4
Manufacturing and Distribution of Specialty Lamps and Equipment,0,0,0,0
Manufacturing and Warehousing,149,0,51,77
Manufacturing and Warehousing - Defense Products,1,0,0,1
Manufacturing and distribution of bakery products.,0,0,0,0
Manufacturing and packaging of liquids and gels,0,0,0,0
Manufacturing building construction,413,0,100,176
Manufacturing fluid distribution systems,0,0,0,0
Manufacturing loading dock equipment,2,0,0,0
Manufacturing machinery and equipment rental or leasing,19,0,6,7
Manufacturing management consulting services,1,0,0,0
Manufacturing of Diagnostic Equipment,2,0,1,0
Manufacturing of Farm equipment,0,0,0,0
Manufacturing of Food Products,9,0,2,0
Manufacturing of Meat/Poultry Pads,1,0,0,0
Manufacturing of Medical Devices and Implants,2,0,0,1
Manufacturing of Medical Devices and Supplies,0,0,0,0
Manufacturing of Medium and High Voltage Cable,2,0,1,0
Manufacturing of Moulded Plugs,0,0,0,0
Manufacturing of Paints and Coatings,2,0,1,0
Manufacturing of Pharmaceutical Drugs,4,0,2,1
Manufacturing of Plastic Packaging,1,0,1,0
Manufacturing of Printing Plates and Steel Rule Dies,7,0,1,0
Manufacturing of Titanium Products,30,0,5,6
Manufacturing of Tooling,6,0,1,4
"Manufacturing of Valtir, Energy Absorptions prod.",9,0,3,1
Manufacturing of adhesive tape,5,0,1,1
Manufacturing of animal feed additives,7,0,3,2
Manufacturing of automobiles,382,0,113,604
Manufacturing of automotive sheet metal parts,13,0,1,3
Manufacturing of coating glass and plastic,0,0,0,0
Manufacturing of engineered high-purity fluid handling products,1,0,0,0
Manufacturing of extruded plastic materials,5,0,1,2
Manufacturing of fluid distribution systems,27,0,4,5
Manufacturing of high purity pumps,4,0,0,2
Manufacturing of industrial pumping equipment,10,0,2,9
Manufacturing of motor vehicles,366,0,67,162
Manufacturing of tape and film,4,0,3,0
Manufacturing of transaction cards,3,0,1,2
Manufacturing of truck accessories,6,0,1,3
Manufacturing of trucks and vans,596,0,121,508
Manufacturing operations improvement consulting services,9,0,8,0
Manufacturing precision ground bars stock,0,0,0,0
"Manufacturing prefabricated metal buildings, panels, and sections.",9,0,5,0
"Manufacturing pumps and pumping equipment for general industrial, commercial, or household use.",0,0,0,0
"Manufacturing, Trucks_Trailers",19,0,5,7
"Manufacturing, assembly, test and repair of aircraft parts or auxiliary equipment",5,0,2,0
Manufacturing-Stamping Auto,61,0,12,18
Manufacturning,3,0,0,3
Manufacturuing of Automitive Accessories,8,0,2,4
Manufacurer,3,0,2,1
Manufacutring,10,0,1,6
Manufcaturing Window Screens,0,0,0,0
Maple sap gathering,7,0,1,6
"Maple syrup (i.e., maple sap reducing)",1,0,0,0
Maple syrup mixing into other products,6,0,0,3
"Marble, granite and slate, exterior, contractors",6,0,2,0
"Marble, granite and slate, interior, contractors",31,0,15,8
Margarine-butter blend made from purchased fats and oils,23,0,14,6
Margarines (including imitation) made from purchased fats and oils,12,0,5,1
"Marijuana stores, medical or recreational",56,0,18,12
Marinas,54,0,9,9
Marine Cargo Handling,128,0,61,30
Marine Cargo Handling Services,1,0,0,0
Marine Cargo Terminal,59,0,30,25
Marine Distribution,11,0,3,4
"Marine Engine Distribution, Adminstration",50,0,14,18
Marine Hardware Fabrication,7,0,1,3
Marine P&A Manufacturing and Distribution,0,0,0,0
Marine Parts Distribution,11,0,3,7
Marine Products Distribution,2,0,0,2
Marine Products Manufacturing and Distribution,0,0,0,0
Marine Shipping,8,0,0,0
Marine cargo checkers and surveyors,5,0,1,1
Marine cargo handling services,665,0,478,63
Marine construction,122,1,40,32
Marine engineering services,1,0,0,1
Marine engines manufacturing,5,0,2,2
"Marine hardware, metal, manufacturing",32,0,9,11
"Marine horns, compressed air or steam, metal, manufacturing",7,0,3,4
Marine paints manufacturing,1,0,1,0
Marine radio communications equipment manufacturing,0,0,0,0
Marine repair and refit,3,0,0,0
Marine salvaging services,5,0,2,1
Marine service stations,1,0,1,1
Marine shipping agency,5,0,5,0
Marine supplies (except pleasure) merchant wholesalers,1,0,0,0
"Marine supplies, pleasure, merchant wholesalers",6,0,4,1
Marine supply dealers,22,0,3,9
"Marionettes (i.e., puppets) manufacturing",0,0,0,0
Marketing Consulting Services,0,0,0,0
Marketing Research,2,0,0,1
Marketing analysis services,1,0,0,0
Marketing consulting services,5,0,2,0
Marketing management consulting services,5,0,2,3
Marketing research services,0,0,0,0
Marking devices manufacturing,8,0,1,6
"Marking machines, metal, manufacturing",0,0,0,0
Marshmallow creme manufacturing,0,0,0,0
Marshmallows manufacturing,2,0,0,2
Mason's materials merchant wholesalers,2,0,2,0
Masonry,1,0,1,0
"Masonry (e.g., block, brick, stone) dealers",8,0,5,1
Masonry Contractors,5,0,3,2
Masonry Subcontractor,3,0,0,3
Masonry and Concrete Subcontractor,1,0,1,0
Masonry contractors,540,1,224,141
"Masonry pointing, cleaning or caulking",36,0,13,3
Masonry_contractors,1,0,1,0
Mass Transit District,21,0,11,1
Mass spectrometers manufacturing,7,0,0,1
Massage Chair Sales,11,0,7,0
Massage therapists' offices,0,0,0,0
Matches and match books manufacturing,1,0,0,1
Material Handling Equipment,4,0,2,0
Material Handling Equipment Sales and Service,10,0,7,2
Material Recovery Facility,8,0,2,4
Material handling equipment manufacturing,1,0,0,1
Material handling service repair and maintenance,62,0,20,35
Materials Recovery Facilities,105,0,37,40
Materials Recovery Facility,0,0,0,0
Materials Recovery Facility / Waste Management & Remediation Services,0,0,0,0
Materials Recycling Facility,5,0,0,3
Materials Recycling Facilty,0,0,0,0
Materials handling equipment installation,15,0,10,5
Materials handling equipment repair and maintenance services,74,0,23,9
Materials handling machinery and equipment merchant wholesalers,66,0,26,15
Materials handling machinery and equipment rental or leasing,5,0,2,2
Materials management consulting services,2,0,0,0
Materials recovery facilities (MRF),397,0,136,140
Materials recovery facility construction,9,0,4,3
Maternity hospitals,53,0,5,0
Mattress Manufacturing,2,0,2,0
"Mattress protectors, rubber, manufacturing",2,0,0,0
"Mattress springs and spring units, light gauge, made from purchased wire or strip",9,0,3,4
Mattress stores (including waterbeds),7,0,3,0
"Mattresses (i.e., box spring, innerspring, noninnerspring) manufacturing",310,0,84,144
"Mattresses made from felt, foam rubber, urethane and similar materials",11,0,6,4
Mattresses merchant wholesalers,2,0,0,1
"Mattresses, air, rubber, manufacturing",7,0,0,4
"Mauls, metal, manufacturing",4,0,1,1
"Mausoleum (i.e., building) construction",3,0,2,1
Mayonnaise manufacturing,24,0,4,22
"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",1,0,0,0
Mayor's offices,300,0,178,31
Meal delivery programs,9,0,1,2
"Meal, alfalfa, manufacturing",0,0,0,0
"Meal, bone, prepared as feed for animals and fowls, manufacturing",1,0,1,0
"Meal, corn, for human consumption made in flour mills",23,0,10,11
Measuring and Controlling Devices,1,0,1,0
"Measuring and Controlling Devices, Not Elsewhere Classified",2,0,1,1
Measuring and testing equipment (except automotive) merchant wholesalers,3,0,1,1
Measuring equipment for electronic and electrical circuits and equipment manufacturing,1,0,1,0
Measuring instrument repair and maintenance services,2,0,1,1
"Measuring instruments and meters, electric, manufacturing",0,0,0,0
"Measuring instruments, industrial process control-type, manufacturing",20,0,6,6
"Measuring tools, machinist's (except optical), manufacturing",1,0,1,1
Measuring wheels manufacturing,4,0,3,0
Meat And Meat Production Merchant Wholesalers,0,0,0,0
Meat Combined Grocery And Prov,0,0,0,0
Meat Manufacturer,0,0,0,0
Meat Process,1,0,0,1
Meat Processed From Carcasses,266,0,196,136
Meat Processed from Carcasses,116,0,51,40
Meat Processing,66,0,11,45
Meat Processing Plant,4,0,2,1
Meat and Meat Product Merchant Wholesale,1,0,1,0
Meat and Meat Product Merchant Wholesalers,75,0,32,27
Meat and Meat Products,7,0,3,2
Meat and Meats Products,0,0,0,0
"Meat and bone meal and tankage, produced in rendering plant",15,0,4,2
Meat and meat prod merch wholesalers,19,0,9,9
Meat canning (except poultry) produced in slaughtering plants,0,0,0,0
"Meat canning, poultry (except baby and pet food), manufacturing",31,0,2,24
Meat extracts made from purchased carcasses,52,0,14,34
"Meat grinders, food-type, manufacturing",22,0,8,8
Meat manufacturer,6,0,1,3
Meat markets,65,0,26,23
Meat processing Packing industry,31,0,5,30
"Meat products (e.g., hot dogs, luncheon meats, sausages) made from a combination of poultry and other meats",72,0,31,23
"Meat products canning (except baby, pet food, poultry) made from purchased carcasses",10,0,6,5
"Meat products, dog and cat, pet food, canning, made from purchased carcasses",1,0,1,0
"Meats (except poultry), cured or smoked, made from purchased carcasses",116,0,28,58
"Meats and meat products (except canned, packaged frozen) merchant wholesalers",126,0,50,48
"Meats fresh, chilled or frozen (except poultry and small game), produced in slaughtering plants",545,0,115,469
"Meats, canned, merchant wholesalers",28,0,13,0
"Meats, cured or smoked, merchant wholesalers",1,0,1,0
"Meats, cured or smoked, produced in slaughtering plants",5,0,0,2
"Meats, fresh or chilled  (except poultry and small game), frozen, made from purchased carcasses",154,0,59,56
"Meats, fresh, merchant wholesalers",77,0,47,27
"Meats, frozen (except packaged), merchant wholesalers",0,0,0,0
"Meats, packaged frozen, merchant wholesalers",36,0,16,7
"Mechanic's handtools, nonpowered, manufacturing",8,0,3,3
Mechanical & IAQ Services,0,0,0,0
Mechanical & Utility Contractor,3,0,3,0
Mechanical Contractor,0,0,0,0
Mechanical Contractors,0,0,0,0
Mechanical contractor,0,0,0,0
Mechanical contractors,1244,2,281,347
Mechanical engineering services,1,0,0,0
Mechanical equipment insulation,7,0,1,2
"Mechanical measuring instruments, industrial process-type, manufacturing",5,0,3,0
Mechanical power transmission equipment repair and maintenance services,0,0,0,0
"Mechanical power transmission supplies (e.g., gears, pulleys, sprockets) merchant wholesalers",6,0,1,2
"Mechanical rubber goods (i.e., extruded, lathe-cut, molded) manufacturing",169,1,40,80
Mechanical testing laboratories or services,0,0,0,0
"Media (e.g., audio, video) streaming distribution services",5,0,4,1
"Mediation and conciliation services, government",2,0,2,2
"Mediation, social service, family, agencies",0,0,0,0
Medical,41,0,21,3
Medical Center,19,0,2,2
Medical Clinic,25,0,3,0
Medical De3vices,3,0,0,3
Medical Dental and Hospital Equipment and Supplies Merchant Wholesalers,17,0,10,1
Medical Device,27,0,15,12
Medical Device Component Manufacturer,5,0,2,0
Medical Device Development & Light Assembly,1,0,0,0
Medical Device Distribution,0,0,1,0
Medical Device Manufacturer,2,0,0,0
Medical Device Manufacturing,10,0,3,2
Medical Device Ophthalmic Manufacturer,5,0,1,3
Medical Devices,24,0,8,9
Medical Devide Education logistics,0,0,0,0
Medical Diagnostics,21,0,18,12
Medical Diagnostics and Devices,23,0,3,13
"Medical Doctprs, Mental Health, Offices",0,0,0,0
Medical Equip Logistics & BioMed Services,14,0,8,0
Medical Equipment,412,0,91,221
Medical Equipment and Supplies Manufacturing,4,0,1,1
Medical Gases & Safety,0,0,0,0
Medical Laboratories,35,0,18,4
Medical Laboratory,21,0,20,8
Medical Lighting,0,0,0,0
Medical Surgical Hospital,79,0,36,3
Medical and surgical equipment repair and maintenance services,26,0,4,11
"Medical assistance programs administration, government",28,0,4,7
Medical building rental or leasing,14,0,5,3
Medical care management services,342,0,145,35
Medical case management services,14,0,6,6
"Medical cleaning equipment, ultrasonic, manufacturing",19,0,7,10
Medical cost evaluation services,0,0,0,0
"Medical doctors' (MDs), mental health, offices (e.g. centers, clinics)",110,0,22,9
"Medical doctors' (MDs, except mental health) offices (e.g., centers, clinics)",702,0,120,118
Medical equipment (except home health furniture and equipment) rental or leasing,2,0,0,1
Medical equipment and supplies stores,86,0,18,43
Medical equipment merchant wholesalers,84,0,33,17
Medical glassware made from purchased glass,9,0,2,2
Medical glassware made in glass making plants,4,0,1,2
Medical glassware merchant wholesalers,0,0,0,0
Medical instruments merchant wholesalers,1,0,0,1
"Medical insurance carriers, direct",4,0,2,0
"Medical laboratories (except radiological, X-ray)",38,0,21,4
"Medical laboratories, radiological or X-ray",0,0,0,0
Medical office management consulting services or consultants,21,0,2,5
Medical office management services,6,0,2,1
Medical radiation therapy equipment manufacturing,18,0,9,3
Medical research and development laboratories or services (except biotechnology research and development),111,0,64,35
Medical schools,729,0,175,17
"Medical service apparel, women's and girls', cut and sewn from purchased fabric (except apparel contractors)",14,0,1,4
Medical service plans without providing health care services,13,0,7,3
"Medical sundries, rubber, merchant wholesalers",22,0,14,4
Medical supplies merchant wholesalers,137,0,57,53
Medical thermometers manufacturing,42,0,5,25
Medical ultrasound equipment manufacturing,3,0,0,2
"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",5,0,3,1
Medicinal and Botanical Manufacturing,0,0,0,0
"Medicinal chemicals, uncompounded, manufacturing",117,0,56,40
Medicine and Botanical Manufacturing,2,0,0,4
Medium density fiberboard (MDF) manufacturing,12,0,4,8
Meeting hall and room rental or leasing,0,0,0,0
Melamine resins manufacturing,0,0,0,0
"Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon), field, bedding plant and seed production",29,0,15,9
Melt blown nonwoven fabrics manufacturing,7,0,1,2
Meltblown and Non-woven,3,0,1,1
"Membership associations, civic or social",122,0,48,35
Membership hotels,71,0,39,10
Memory boards manufacturing,13,0,3,5
Men and Boys cut and sew apparel contractors,2,0,0,2
Men's and boys' clothing merchant wholesalers,21,0,12,6
Menhaden fishing,20,1,17,0
Mental (except intellectual and developmental disability) hospitals,15,0,11,2
Mental Health,33,0,0,0
Mental Health Hospital,25,0,4,0
Mental Health Outpatient,6,0,1,0
Mental Health Residential,2,0,1,0
Mental Health Treatment Center,0,0,0,0
"Mental health centers and clinics (except hospitals), outpatient",463,0,290,51
"Mental health facilities, residential",1568,1,610,284
Mental health halfway houses,2,0,1,0
Mental health hospitals,1142,0,1008,103
"Mental health physicians' offices (e.g., centers, clinics)",33,0,18,4
Mental health program administration,134,0,86,39
"Merchandising machines, coin-operated, merchant wholesalers",0,0,0,0
Merchant Wholesale Distribution of Farm Supplies,0,0,0,0
Merchant Wholesale Distribution of Specialized Mac,9,0,1,1
"Merchant Wholesalers, Durable Goods",227,0,76,78
"Merchant builders (i.e., building on own land, for sale), residential",0,0,0,0
Merchant wholesale distribution,3,0,1,1
"Mercury compounds, not specified elsewhere by process, manufacturing",2,0,2,0
Mesh made from purchased wire,29,0,7,10
"Mesh, wire, made in iron and steel mills",3,0,2,1
"Mesh, wire, made in wire drawing mills",30,0,9,8
Messenger and Local Delivery,6,0,6,0
Messenger service,34,0,23,7
Metal Building Fabricator,7,0,3,0
Metal Building Manufacturer,0,0,0,0
Metal Buildings,0,0,0,0
Metal Can Manufacturing,8,0,0,4
Metal Can Manufacturing (administrative offices),0,0,0,0
"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",3,0,1,0
Metal Container Manufacturing,21,0,7,2
"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",28,0,13,13
Metal Distribution,0,0,0,0
Metal Fab,1,0,0,0
Metal Fabrication,15,0,5,9
Metal Finishing,0,0,0,0
"Metal Finishing - Electroplating, Plating, Polishing, Anodizing, Coloring Metal Coating, Engraving and Allied Services to MFG.",7,0,4,2
Metal Galvanizing,0,0,0,0
Metal Heat Treating,0,0,0,0
Metal Manufacturing,30,0,9,2
Metal Merchant Wholesaler,0,0,0,0
Metal Merchant Wholesalers,0,0,0,0
Metal Parts Finishing/Electroplating,5,0,0,1
Metal Recycle,0,0,0,0
Metal Recyclers,2,0,0,1
Metal Service Center,59,0,23,18
Metal Service Center Raw Material,12,0,6,4
Metal Service Center and Other Metal Merchant Wholesalers,2,0,1,0
Metal Service Centers and Other Metal Merchant Wholesalers,60,0,12,39
Metal Stamping,2,0,2,0
Metal Stamping and Fabrication,1,0,0,1
Metal Stamping of Automotive Parts,7,0,1,0
Metal Stampings,1,0,1,0
Metal Tank (Heavy Gauge) Manufacturing,31,0,14,7
Metal Valve and Pipe Manufacturing,0,0,0,0
Metal Window and Door Manufacturing,44,0,4,11
Metal and Ductwork Forming,5,0,1,1
"Metal cans, light gauge metal, manufacturing",48,0,18,7
Metal casting machinery and equipment manufacturing,92,0,19,32
Metal coating,7,0,2,3
Metal coating and allied services,2,0,2,0
Metal cutting machine tools manufacturing,21,0,5,2
Metal cutting saw blades manufacturing,13,0,1,9
Metal detectors manufacturing,0,0,0,0
Metal fabrication,26,0,3,4
Metal foil containers (except bags) manufacturing,18,0,9,6
Metal forming machine tools manufacturing,24,0,2,13
"Metal framed furniture, household-type, upholstered, manufacturing",0,0,0,0
"Metal melting furnaces, industrial, manufacturing",0,0,0,0
"Metal mining support services (shaft sinking, tunneling, blasting) (except site preparation and related construction contractor activities)",1,0,0,1
Metal motor vehicle body parts stamping,177,0,42,86
Metal oxide silicon (MOS) devices manufacturing,5,0,1,2
Metal pipe merchant wholesalers,12,0,3,2
Metal powder and flake made from purchased aluminum,0,0,0,1
Metal powder and flake made from purchased iron or steel,10,0,4,4
"Metal powder and flake nonferrous (except aluminum, copper) made from purchased metal",6,0,2,2
Metal processing plant construction,4,0,1,0
"Metal products (e.g., bars, ingots, plates, rods, shapes, sheets) merchant wholesalers",89,0,40,18
Metal scrap and waste merchant wholesalers,592,0,216,164
Metal service centers and other metal merchant who,5,0,0,1
Metal siding installation,16,0,3,9
"Metal stampings (except automotive, cans, coins), unfinished, manufacturing",698,0,207,201
Metal-graphite product manufacturing,4,0,0,3
Metallic soap manufacturing,4,0,4,0
Metallizing purchased textiles,25,0,10,6
Metallurgical testing laboratories or services,0,0,0,0
Metals Distribution,0,0,0,0
Metals Recycling,11,0,1,6
Metals Service Center,14,0,2,4
Metals Service Centers,0,0,0,0
Metals coatings and engraving,1,0,1,0
Metals sales offices,3,0,1,0
Metals service centers,668,1,256,201
"Metals, ferrous and nonferrous, merchant wholesalers",2,0,0,0
"Metals, precious, merchant wholesalers",2,0,0,1
Metalworking lathes manufacturing,0,0,0,0
Metalworking machinery and equipment merchant wholesalers,25,0,7,3
Meteorological instrument repair and maintenance services,0,0,0,0
Meteorological instruments manufacturing,3,0,1,1
Meteorological services,2,0,2,0
"Meter reading services, contract",79,0,24,26
"Metering panels, electric, manufacturing",0,0,0,0
Meters (except electrical and industrial process control) manufacturing,0,0,0,0
"Meters, electrical, merchant wholesalers",11,0,3,3
"Methyl alcohol (i.e., methanol), synthetic, manufacturing",1,0,1,0
Methyl cellulose resins manufacturing,1,0,0,1
Methyl chloride manufacturing,1,0,0,0
Methyl methacrylate resins manufacturing,1,0,1,0
Methylamine manufacturing,1,0,0,0
Methylene chloride manufacturing,0,0,0,0
Mexican foods canning,23,0,10,7
"Mexican foods, frozen, manufacturing",65,0,21,40
Mfg,1,0,1,0
Mfg Aircraft and Aerospace Systems and Component Parts,3,0,1,0
"Mfg and Install Mirrors, Wardrobe Doors, Shelving, Organizers",0,0,0,0
"Mfg and Install Showers, Mirrors, MWD",2,0,0,2
"Mfg and Install Showers, Mirrors, Organizers, Wire Shelving,MWD",0,0,0,0
Mfg of Surgical and Medical Instruments,0,0,0,1
Mfg of plastic housewares,141,0,75,32
Mfg.- Ball Bearings,5,0,1,4
Mfg.of Plastic Foam Products,0,0,0,0
"Mfging, Warehousing & Storage",7,0,1,0
Mica products manufacturing,2,0,2,0
"Micro-lithography equipment, semiconductor, manufacturing",2,0,0,0
Microbiology instruments manufacturing,27,0,8,14
"Microbiology, virology, and serology in-vitro diagnostic substances manufacturing",8,0,4,3
Microcomputer Manufacturing,0,0,0,0
Microcomputers manufacturing,7,0,2,1
Microcontroller chip manufacturing,48,0,13,9
Micromachining machine shop,1,0,0,0
"Microprobes (e.g., electron, ion, laser, X-ray) manufacturing",0,0,0,0
Microprocessor chip manufacturing,15,0,5,4
"Microscopes, electron and proton, manufacturing",0,0,0,0
Microtunneling contractors,6,0,4,1
Microwave Antenna Manufacturing,0,0,0,0
Microwave communications equipment manufacturing,4,0,2,1
Microwave components manufacturing,29,1,10,7
Microwave relay tower construction,3,0,0,2
Microwave test equipment manufacturing,0,0,0,0
Middle School,5,0,0,5
Middle schools,96,0,25,35
Military bases and camps,3,0,1,1
"Military insignia, metal, manufacturing",9,0,1,3
"Military insignia, textile, manufacturing",3,0,1,1
Military training schools (except academies),4,0,0,0
Milk based drinks manufacturing,25,0,5,19
Milk carton board made in paperboard mills,16,0,6,3
"Milk hauling, local",7,0,5,1
"Milk processing (e.g., bottling, homogenizing, pasteurizing, vitaminizing) manufacturing",502,0,266,180
Milk processing (except farm-type) machinery manufacturing,1,0,0,0
"Milk production, dairy cattle",581,2,236,120
Milk substitutes manufacturing,41,0,8,31
Milk testing for butterfat and milk solids,12,0,10,0
"Milk, canned or dried, merchant wholesalers",4,0,4,0
"Milk, concentrated, condensed, dried, evaporated, and powdered, manufacturing",49,0,10,28
"Milk, fluid (except canned), manufacturing",383,0,180,140
"Milk, fluid (except canned), merchant wholesalers",4,0,3,1
"Milk, powdered, manufacturing",3,0,0,0
Milking dairy cattle,160,0,61,30
Milking machinery and equipment merchant wholesalers,103,0,45,26
Milking machines manufacturing,3,0,2,1
Millinery cut and sewn from purchased fabric (except apparel contractors),1,0,1,1
"Milling machines, metalworking, manufacturing",9,0,2,3
Milling rice,46,0,9,27
Millwork,0,0,0,0
Millwork Manufacturing,6,0,0,6
Millwork installation,9,0,4,2
Millwork merchant wholesalers,97,0,45,33
"Millwork, custom architectural, manufacturing",190,0,51,69
"Millwork, treating",10,0,3,5
Millwrights,123,0,33,38
Mine conveyors manufacturing,30,0,6,14
"Mine reclamation services, integrated (e.g., demolition, hazardous material removal, soil remediation)",0,0,0,0
"Mine site preparation and related construction activities, construction contractors",42,0,23,8
Mineral Wool Insulation Materials Manufacturing,9,0,3,5
Mineral Wool Manufacturing,5,0,4,1
"Mineral feed supplements (except cat, dog) manufacturing",3,0,1,2
Mineral processing and beneficiating machinery manufacturing,21,0,6,2
"Mineral supplements, animal (except cat, dog), manufacturing",0,0,0,0
"Mineral supplements, animal, merchant wholesalers",1,0,0,1
Mineral wool insulation installation,6,0,0,0
Mineral wool insulation materials manufacturing,7,0,3,1
"Mineral wool products (e.g., board, insulation, tile) manufacturing",15,0,1,5
"Mini-mills, steel",82,1,22,25
Miniature golf courses,3,0,2,2
Minicomputers manufacturing,1,0,0,0
